P1 wins, P2 wins, Draws, TOTAL TIME P1, TOTAL TIME P2, TOTAL MOVES, TOTAL MOVES P1, TOTAL MOVES P2
0, 1, 0, 1.86791948E8, 2.88685429E8, 18, 9, 9
0, 1, 0, 3.09111688E8, 5.4885407E8, 38, 19, 19
0, 1, 0, 2.12884967E8, 3.46462173E8, 20, 10, 10
0, 1, 0, 2.96677644E8, 5.23030285E8, 32, 16, 16
0, 1, 0, 1.87983536E8, 2.95068072E8, 18, 9, 9
0, 1, 0, 2.79177574E8, 4.49493766E8, 30, 15, 15
0, 1, 0, 1.83290638E8, 2.75500709E8, 18, 9, 9
0, 1, 0, 2.78503175E8, 5.41348615E8, 32, 16, 16
0, 1, 0, 1.57837399E8, 2.37486009E8, 14, 7, 7
1, 0, 0, 2.80618929E8, 5.0686457E8, 39, 20, 19
0, 1, 0, 2.74024264E8, 4.72151961E8, 28, 14, 14
0, 1, 0, 3.40987206E8, 5.74886935E8, 40, 20, 20
1, 0, 0, 2.92491592E8, 5.14719241E8, 39, 20, 19
0, 1, 0, 2.67402604E8, 4.95646085E8, 36, 18, 18
1, 0, 0, 3.24371851E8, 5.55798763E8, 39, 20, 19
0, 1, 0, 1.83077977E8, 2.93337388E8, 18, 9, 9
0, 1, 0, 3.03503599E8, 5.61900432E8, 34, 17, 17
0, 1, 0, 2.73761074E8, 4.76776518E8, 28, 14, 14
0, 1, 0, 1.68507376E8, 2.61571931E8, 16, 8, 8
0, 1, 0, 1.89365505E8, 2.9854789E8, 18, 9, 9
0, 1, 0, 2.74800748E8, 4.58103453E8, 36, 18, 18
0, 1, 0, 1.86562062E8, 2.94447908E8, 18, 9, 9
0, 1, 0, 3.38060326E8, 5.81312997E8, 42, 21, 21
0, 1, 0, 2.20077995E8, 3.80518391E8, 22, 11, 11
0, 1, 0, 1.87285373E8, 2.93658064E8, 18, 9, 9
0, 1, 0, 2.4928113E8, 4.10188876E8, 28, 14, 14
0, 1, 0, 1.82441801E8, 2.9338802E8, 18, 9, 9
0, 1, 0, 1.88507519E8, 3.01575318E8, 18, 9, 9
0, 1, 0, 2.39794396E8, 4.18951215E8, 28, 14, 14
0, 1, 0, 2.11367639E8, 3.52518873E8, 20, 10, 10
0, 1, 0, 2.24774189E8, 3.92848815E8, 22, 11, 11
0, 1, 0, 2.44033596E8, 4.37191769E8, 34, 17, 17
0, 1, 0, 2.73182899E8, 4.70060264E8, 30, 15, 15
0, 1, 0, 2.09139477E8, 3.47190165E8, 22, 11, 11
0, 1, 0, 2.0859425E8, 3.40836325E8, 20, 10, 10
0, 1, 0, 2.36769475E8, 4.3824782E8, 26, 13, 13
0, 1, 0, 2.69132413E8, 4.57965061E8, 28, 14, 14
0, 1, 0, 2.28817752E8, 3.69710232E8, 22, 11, 11
0, 1, 0, 1.89340102E8, 2.98310469E8, 18, 9, 9
1, 0, 0, 2.85355742E8, 4.7916006E8, 35, 18, 17
0, 1, 0, 2.4775231E8, 4.35229279E8, 32, 16, 16
0, 1, 0, 1.63231369E8, 2.51110758E8, 16, 8, 8
0, 1, 0, 3.11091888E8, 5.24183208E8, 38, 19, 19
0, 1, 0, 2.09899625E8, 3.51982868E8, 22, 11, 11
1, 0, 0, 3.21807865E8, 5.490951E8, 39, 20, 19
0, 1, 0, 3.04902449E8, 5.63681582E8, 34, 17, 17
0, 1, 0, 3.25062997E8, 5.43138008E8, 36, 18, 18
1, 0, 0, 3.31725714E8, 5.53490485E8, 39, 20, 19
1, 0, 0, 3.13582892E8, 5.41808491E8, 39, 20, 19
0, 1, 0, 2.12221541E8, 3.36261189E8, 20, 10, 10
0, 1, 0, 2.06001609E8, 3.28133845E8, 22, 11, 11
1, 0, 0, 2.72278228E8, 4.99105168E8, 39, 20, 19
0, 1, 0, 1.80028735E8, 2.84691087E8, 18, 9, 9
0, 1, 0, 2.28622042E8, 3.63567144E8, 22, 11, 11
0, 1, 0, 2.04155414E8, 3.13393017E8, 20, 10, 10
0, 1, 0, 2.88635823E8, 4.7805461E8, 36, 18, 18
0, 1, 0, 2.00623052E8, 3.12645298E8, 20, 10, 10
0, 1, 0, 1.79409043E8, 3.01075498E8, 18, 9, 9
0, 1, 0, 2.8670436E8, 4.62780582E8, 30, 15, 15
0, 1, 0, 3.22365397E8, 5.49081167E8, 38, 19, 19
0, 1, 0, 2.58453299E8, 4.91884173E8, 34, 17, 17
1, 0, 0, 2.64300846E8, 4.55462845E8, 35, 18, 17
0, 1, 0, 1.79179572E8, 2.83735266E8, 18, 9, 9
0, 1, 0, 2.85078688E8, 5.00033513E8, 30, 15, 15
0, 1, 0, 3.12504352E8, 5.71322706E8, 38, 19, 19
1, 0, 0, 2.72268537E8, 4.89444289E8, 35, 18, 17
0, 1, 0, 2.26875277E8, 3.7456027E8, 24, 12, 12
0, 1, 0, 1.87229977E8, 3.06314513E8, 18, 9, 9
0, 1, 0, 2.53869471E8, 4.48288E8, 32, 16, 16
0, 1, 0, 3.01994627E8, 5.34334915E8, 36, 18, 18
0, 1, 0, 2.12220936E8, 3.82701395E8, 22, 11, 11
0, 1, 0, 3.45647154E8, 5.30214004E8, 36, 18, 18
0, 1, 0, 2.30392104E8, 4.13396235E8, 24, 12, 12
0, 1, 0, 2.59563343E8, 4.54502982E8, 32, 16, 16
0, 1, 0, 2.39065167E8, 3.87337778E8, 24, 12, 12
1, 0, 0, 2.7290352E8, 4.74936993E8, 39, 20, 19
1, 0, 0, 3.72205892E8, 5.85341638E8, 39, 20, 19
0, 1, 0, 3.46540929E8, 5.63581507E8, 38, 19, 19
0, 1, 0, 2.06331921E8, 3.48506741E8, 22, 11, 11
